System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
4:18:52,3734.746,Grain,201,
4:18:55,3744.76,Grain,201,
4:18:58,3754.807,Grain,201,
4:19:2,3764.812,Grain,201,
4:19:5,3774.85,Grain,200,
4:19:8,3784.865,Grain,201,
4:19:12,3794.891,Grain,201,
4:19:15,3804.99,Grain,201,
4:19:18,3815.016,Grain,201,
4:19:22,3825.084,Grain,201,
4:19:25,3835.115,Grain,201,
4:19:28,3845.122,Grain,201,
4:19:32,3855.186,Grain,201,
4:19:35,3865.227,Grain,201,
4:19:38,3875.258,Grain,201,
4:19:42,3885.307,Grain,201,
4:19:45,3895.312,Grain,201,
4:19:48,3905.316,Grain,201,
4:19:52,3915.364,Grain,201,
4:19:55,3925.402,Grain,201,
4:19:58,3935.442,Grain,201,
4:20:2,3945.466,Grain,201,
4:20:5,3955.513,Grain,201,
4:20:9,3965.522,Grain,200,
4:20:12,3975.561,Grain,201,
4:20:15,3985.565,Grain,201,
4:20:19,3995.617,Grain,201,
4:20:22,4005.63,Grain,201,
4:20:25,4015.669,Grain,201,
4:20:29,4025.695,Grain,200,
4:20:32,4035.756,Grain,200,
4:20:35,4045.765,Grain,201,
4:20:39,4055.781,Grain,201,
4:20:42,4065.818,Grain,201,
4:20:45,4075.824,Grain,201,
4:20:49,4085.871,Grain,200,
4:20:52,4095.912,Grain,201,
4:20:55,4105.917,Grain,201,
4:20:59,4115.95,Grain,201,
4:21:2,4125.974,Grain,200,
4:21:5,4135.975,Grain,201,
4:21:9,4145.979,Grain,201,
4:21:12,4155.984,Grain,201,
4:21:15,4166.01,Grain,201,
4:21:19,4176.016,Grain,201,
4:21:22,4186.029,Grain,201,
4:21:25,4196.042,Grain,201,
4:21:29,4206.075,Grain,201,
4:21:32,4216.088,Grain,201,
4:21:35,4226.091,Grain,201,
4:21:39,4236.105,Grain,201,
4:21:42,4246.146,Grain,201,
4:21:45,4256.152,Grain,201,
4:21:49,4266.155,Grain,201,
4:21:52,4276.193,Grain,200,
4:21:55,4286.209,Grain,200,
4:21:59,4296.22,Grain,201,
4:22:2,4306.25,Grain,201,
4:22:6,4316.346,Grain,201,
4:22:9,4326.371,Grain,201,
4:22:12,4336.401,Grain,201,
4:22:16,4346.53,Grain,201,
4:22:19,4356.585,Grain,201,
4:22:23,4366.593,Grain,200,
4:22:26,4376.593,Grain,201,
4:22:29,4386.6,Grain,201,
4:22:33,4396.646,Grain,201,
4:22:36,4406.688,Grain,200,
4:22:40,4416.718,Grain,201,
4:22:43,4426.752,Grain,201,
4:22:46,4436.782,Grain,201,
4:22:50,4446.799,Grain,201,
4:22:53,4456.831,Grain,201,
