,,Chicken,SpeedInheritedDominant,SpeedInheritedRecessive,SpeedInheritedAVG,SpeedMutationValue,SpeedDominant,SpeedRecessive,SpeedAVG,FatherSpeed,MotherSpeed,SpeedParentsAVG,MetabolismInheritedDominant,MetabolismInheritedRecessive,MetabolismInheritedAVG,MetabolismMutationValue,MetabolismDominant,MetabolismRecessive,MetabolismAVG,MetabolismFather,MetabolismMother,MetabolismParentsAVG,ReproductionInheritedDominant,ReproductionInheritedRecessive,ReproductionInheritedAVG,ReproductionMutationValue,ReproductionDominant,ReproductionRecessive,ReproductionAVG,ReproductionFather,ReproductionMother,ReproductionParentsAVG,,SpeedComparedToParents,MetabloismComparedToParents,ReproductionComparedToParents
>=11,<12,11-12,0.138790942751804,-0.0827649095310244,0.0280130166103896,-0.00222676293968254,0.138459951390909,-0.0859832145367965,0.0262383684270562,0.139931556155844,0.127664422606061,0.133797989380952,0.119791913103896,-0.0481737238988312,0.0358090946025326,-0.000744878860461759,0.120603880925685,-0.0466294784085137,0.0369872012585859,0.112092318865801,0.120618241341082,0.116355280103441,0.349741846678211,-0.298686698672438,0.0255275740028863,-0.0106416692468976,0.348702664372294,-0.308055033764213,0.0203238153040405,0.351123189004329,0.364647700779222,0.357885444891775,,0.00466196200995655,,
>=12,<13,12-13,0.134460507610744,-0.0705251838374656,0.0319676618866391,-0.00553022450927824,0.130777873814325,-0.0750410293413223,0.0278684222365014,0.13165444407438,0.129901183585951,0.130777813830165,0.134695632453168,-0.0401228690826446,0.0472863816852617,-0.000496631404683196,0.134839110977961,-0.0423567229889807,0.0462411939944904,0.147896162644628,0.119838965342975,0.133867563993802,0.348222748137741,-0.343281478316805,0.00247063491046848,-0.0123252573060331,0.344412191396694,-0.360203230340771,-0.00789551947203848,0.365753517438017,0.275799259826446,0.320776388632232,,5.99841598336592E-08,,
>=13,<14,13-14,0.12481648487931,-0.0666110092643679,0.0291027378074712,0.0088154186091954,0.130184505150575,-0.0578161065534483,0.0361841992985632,0.179844435431035,0.118049611724138,0.148947023577586,0.149191124890805,-0.0431235723275862,0.0530337762816092,0.000691561921264369,0.153868919275287,-0.0408100180229885,0.0565294506261494,0.153075519482759,0.147647205241379,0.150361362362069,0.312111671097701,-0.366245593678161,-0.0270669612902298,-0.00168924837356322,0.305769964597701,-0.365875484520115,-0.0300527599612068,0.366974117758621,0.271551019827586,0.319262568793103,,-0.0187625184270115,,
>=14,<15,14-15,0.1209354581,-0.00232686693333333,0.0593042955833334,0.00327672328333333,0.115075668516667,0.00389090246666668,0.0594832854916667,0.1560481021,0.141788276,0.14891818905,0.140519105083333,-0.0215577498666666,0.0594806776083334,0.00333734257166667,0.141229015966667,-0.0245059721166667,0.058361521925,0.181959403,0.18291567485,0.182437538925,0.195356058141667,-0.327693432166667,-0.0661686870125001,0.0141995491166667,0.228082916125,-0.319451663566667,-0.0456843737208334,0.280254945,0.3109243,0.2955896225,,-0.0338425205333333,,
>=15,<16,15-16,-0.2130213,-0.2130213,-0.2130213,0.0241547933333333,-0.200826433333333,-0.172290866666667,-0.18655865,0.07456122,0.136468,0.10551461,-0.1093268,-0.1093268,-0.1093268,-0.02874609,-0.111517653333333,-0.160511,-0.136014326666667,0.08859659,-0.002449557,0.0430735165,0.2089722,-0.02162106,0.09367557,-0.0641182433333333,0.201464866666667,-0.0291284066666667,0.08616823,0.6905725,0.6905725,0.6905725,,-0.306341043333333,,
>=16,<17,16-17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
>=17,<18,17-18,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
>=18,<19,18-19,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
>=19,<20,19-20,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
>=20,<21,20-21,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
