System Time:,Simulation Time:,VegetableType:,CurrentNumber:
16:21:44,1080.864,Grain,266
16:21:48,1083.864,Grain,264
16:21:51,1086.864,Grain,263
16:21:55,1089.864,Grain,263
16:21:58,1092.864,Grain,263
16:22:02,1095.864,Grain,262
16:22:05,1098.864,Grain,261
16:22:09,1101.864,Grain,260
16:22:13,1104.864,Grain,258
16:22:17,1107.864,Grain,255
16:22:21,1110.864,Grain,255
16:22:25,1113.864,Grain,254
16:22:29,1116.864,Grain,254
16:22:32,1119.864,Grain,252
16:22:36,1122.864,Grain,250
16:22:40,1125.864,Grain,248
16:22:44,1128.864,Grain,246
16:22:48,1131.864,Grain,245
16:22:52,1134.864,Grain,243
16:22:56,1137.864,Grain,237
16:23:00,1140.864,Grain,234
16:23:04,1143.864,Grain,233
16:23:08,1146.864,Grain,228
16:23:12,1149.864,Grain,225
16:23:16,1152.864,Grain,223
16:23:21,1155.864,Grain,222
16:23:25,1158.864,Grain,222
16:23:29,1161.864,Grain,219
16:23:34,1164.864,Grain,219
16:23:38,1167.864,Grain,219
16:23:42,1170.864,Grain,217
16:23:46,1173.864,Grain,218
16:23:50,1176.864,Grain,219
16:23:55,1179.864,Grain,216
16:23:59,1182.864,Grain,217
16:24:03,1185.864,Grain,215
16:24:08,1188.864,Grain,211
16:24:12,1191.864,Grain,208
16:24:16,1194.864,Grain,206
16:24:20,1197.864,Grain,204
16:24:24,1200.864,Grain,203
16:24:28,1203.864,Grain,202
16:24:33,1206.864,Grain,200
16:24:37,1209.864,Grain,199
16:24:42,1212.864,Grain,200
16:24:46,1215.864,Grain,199
16:24:51,1218.864,Grain,198
16:24:55,1221.864,Grain,198
16:24:59,1224.864,Grain,197
16:25:04,1227.864,Grain,198
16:25:08,1230.864,Grain,198
16:25:13,1233.864,Grain,199
16:25:17,1236.864,Grain,199
16:25:22,1239.864,Grain,198
16:25:26,1242.864,Grain,199
16:25:31,1245.864,Grain,195
16:25:36,1248.864,Grain,195
16:25:40,1251.864,Grain,191
16:25:45,1254.864,Grain,191
16:25:50,1257.864,Grain,188
16:25:56,1260.864,Grain,187
16:26:01,1263.864,Grain,186
16:26:07,1266.864,Grain,186
16:26:12,1269.864,Grain,184
16:26:17,1272.864,Grain,182
16:26:22,1275.864,Grain,180
16:26:27,1278.864,Grain,178
16:26:33,1281.864,Grain,176
16:26:38,1284.864,Grain,175
16:26:44,1287.864,Grain,173
16:26:49,1290.864,Grain,172
16:26:55,1293.864,Grain,169
16:27:00,1296.864,Grain,168
16:27:06,1299.864,Grain,165
16:27:11,1302.864,Grain,165
16:27:17,1305.864,Grain,163
16:27:23,1308.864,Grain,161
16:27:30,1311.864,Grain,158
16:27:36,1314.864,Grain,155
16:27:42,1317.864,Grain,154
16:27:48,1320.864,Grain,153
16:27:55,1323.864,Grain,150
16:28:01,1326.864,Grain,149
16:28:07,1329.864,Grain,149
16:28:14,1332.864,Grain,146
16:28:21,1335.864,Grain,145
16:28:27,1338.864,Grain,144
16:28:34,1341.864,Grain,141
16:28:41,1344.864,Grain,137
16:28:49,1347.864,Grain,133
16:28:56,1350.864,Grain,130
16:29:03,1353.864,Grain,128
16:29:11,1356.864,Grain,124
16:29:18,1359.864,Grain,121
16:29:26,1362.864,Grain,116
16:29:34,1365.864,Grain,115
16:29:42,1368.864,Grain,114
16:29:50,1371.864,Grain,111
16:29:58,1374.864,Grain,106
16:30:07,1377.864,Grain,103
16:30:15,1380.864,Grain,102
16:30:23,1383.864,Grain,101
16:30:32,1386.864,Grain,100
16:30:40,1389.864,Grain,98
16:30:48,1392.864,Grain,98
16:30:57,1395.864,Grain,98
16:31:06,1398.864,Grain,94
16:31:14,1401.864,Grain,93
16:31:23,1404.864,Grain,89
16:31:32,1407.864,Grain,89
16:31:41,1410.864,Grain,88
16:31:50,1413.864,Grain,85
16:31:59,1416.864,Grain,85
16:32:09,1419.864,Grain,81
16:32:18,1422.864,Grain,77
16:32:27,1425.864,Grain,77
16:32:38,1428.864,Grain,75
16:32:48,1431.864,Grain,73
16:32:58,1434.864,Grain,73
16:33:09,1437.864,Grain,71
16:33:19,1440.864,Grain,70
16:33:29,1443.864,Grain,70
16:33:39,1446.864,Grain,66
16:33:50,1449.864,Grain,66
16:34:00,1452.864,Grain,62
16:34:10,1455.864,Grain,62
16:34:21,1458.864,Grain,54
16:34:31,1461.864,Grain,53
16:34:42,1464.864,Grain,52
16:34:53,1467.864,Grain,52
16:35:04,1470.864,Grain,48
16:35:15,1473.864,Grain,45
16:35:26,1476.864,Grain,45
16:35:37,1479.864,Grain,44
16:35:49,1482.864,Grain,42
16:36:00,1485.864,Grain,43
16:36:12,1488.864,Grain,43
16:36:24,1491.864,Grain,42
16:36:37,1494.864,Grain,39
16:36:49,1497.864,Grain,40
16:37:02,1500.864,Grain,40
16:37:15,1503.864,Grain,40
16:37:27,1506.864,Grain,38
16:37:41,1509.864,Grain,37
16:37:54,1512.864,Grain,36
16:38:08,1515.864,Grain,37
16:38:21,1518.864,Grain,38
16:38:35,1521.864,Grain,37
16:38:48,1524.864,Grain,35
16:39:02,1527.864,Grain,32
16:39:15,1530.864,Grain,33
16:39:29,1533.864,Grain,30
16:39:43,1536.864,Grain,31
16:39:57,1539.864,Grain,29
16:40:11,1542.864,Grain,30
16:40:25,1545.864,Grain,30
16:40:39,1548.864,Grain,30
16:40:54,1551.864,Grain,29
16:41:08,1554.864,Grain,25
16:41:23,1557.864,Grain,23
16:41:37,1560.864,Grain,21
