,,Chicken,SpeedInheritedDominant,SpeedInheritedRecessive,SpeedInheritedAVG,SpeedMutationValue,SpeedDominant,SpeedRecessive,SpeedAVG,FatherSpeed,MotherSpeed,SpeedParentsAVG,MetabolismInheritedDominant,MetabolismInheritedRecessive,MetabolismInheritedAVG,MetabolismMutationValue,MetabolismDominant,MetabolismRecessive,MetabolismAVG,MetabolismFather,MetabolismMother,MetabolismParentsAVG,ReproductionInheritedDominant,ReproductionInheritedRecessive,ReproductionInheritedAVG,ReproductionMutationValue,ReproductionDominant,ReproductionRecessive,ReproductionAVG,ReproductionFather,ReproductionMother,ReproductionParentsAVG,,SpeedComparedToParents,MetabloismComparedToParents,ReproductionComparedToParents
>=11,<12,11-12,0.123660897439331,-0.0991874434252019,0.0122367270070644,-0.00406598550490197,0.121334068936563,-0.100540760823068,0.0103966540567473,0.116584354373356,0.118869381628374,0.116584354373356,0.112859717711015,-0.0547949814174683,0.0290323681467735,-0.00117474533039793,0.112980173769262,-0.0562499443167417,0.0283651147262601,0.117360153874394,0.108187919180969,0.108187919180969,0.345385649723471,-0.313783083641292,0.0158012830410898,-0.00674130698564014,0.344349001181545,-0.320636787477105,0.0118561068522199,0.316564895717993,0.360892002538062,0.316564895717993,,0.00474971456320634,0.00479225458829334,0.0277841054635526
>=12,<13,12-13,0.133811569456982,-0.0997792449011772,0.0170161622779025,-0.0025441490388443,0.130467641181648,-0.099786860681332,0.0153403902501578,0.129000817177688,0.123668997152488,0.123668997152488,0.123711260408668,-0.0428417482768111,0.0404347560659283,-0.00167200896448427,0.123037397612092,-0.0439699531008347,0.0395337222556286,0.115287219070947,0.123952759186517,0.115287219070947,0.384802932654575,-0.318448799380418,0.0331770666370786,-0.00117977777937935,0.385683292018673,-0.31684340842488,0.0344199417968966,0.327406610965972,0.37041685410594,0.327406610965972,,0.0067986440291595,0.00775017854114461,0.0582766810527015
>=13,<14,13-14,0.124534196819243,-0.104516243790118,0.0100089765145625,0.00289417095012293,0.12517161247182,-0.100846303320756,0.0121626545755319,0.130399412431205,0.126626276398723,0.126626276398723,0.123045354996974,-0.0434449758389599,0.0398001895790069,-0.00104002954607092,0.123175778006908,-0.0444428564377779,0.0393664607845649,0.129038655728795,0.124747450332057,0.124747450332057,0.3824765541513,-0.346469335288227,0.0180036094315364,-0.00614739514135935,0.373245466347849,-0.353343609993002,0.00995092817742313,0.422082824843403,0.398956419757446,0.398956419757446,,-0.00145466392690288,-0.00157167232514949,-0.0257109534095978
>=14,<15,14-15,0.133332292777735,-0.107373559447876,0.0129793666649293,8.79329483526369E-05,0.132290345962934,-0.108361080040369,0.0119646329612829,0.132272068410553,0.123253146763192,0.123253146763192,0.128493554051995,-0.0457379557428142,0.0413777991545904,-0.000575170737957959,0.126779356213943,-0.0462786951499786,0.0402503305319821,0.135795798901158,0.124747188489447,0.124747188489447,0.404810963696309,-0.379111574682111,0.0128496945070989,0.000617135145461175,0.403346941758171,-0.385283259893393,0.0090318409323894,0.391908897872586,0.390919759646974,0.390919759646974,,0.00903719919974241,0.00203216772449551,0.012427182111197
>=15,<16,15-16,0.145540579561453,-0.113324651736567,0.0161079639124428,-0.00276215498347032,0.143979499297907,-0.113809137791606,0.0150851807531509,0.133554820163927,0.134027801667922,0.133554820163927,0.137887375959285,-0.0419586437614916,0.0479643660988967,0.00147302594190449,0.138331148701016,-0.041375811929433,0.0484776683857915,0.139747484762557,0.13063349987717,0.13063349987717,0.448605070695052,-0.375223270810122,0.0366908999424651,-0.00202030019187595,0.445340472301178,-0.377591492451066,0.033874489925056,0.408268115956619,0.407058167598401,0.407058167598401,,0.0104246791339803,0.00769764882384627,0.0382823047027769
>=16,<17,16-17,0.152476444997026,-0.123985092407124,0.014245676294951,0.000963531571392157,0.153264631677418,-0.123527687975131,0.0148684718511438,0.149907484439902,0.144668989057451,0.144668989057451,0.138622373208627,-0.0480921150745097,0.0452651290670588,-0.001113390936,0.138057492170131,-0.0483525702252614,0.0448524609724347,0.149004385697059,0.138409270607843,0.138409270607843,0.426936026828953,-0.391824669034445,0.0175556788972538,-0.0045728442351634,0.42285816982928,-0.391776085171176,0.0155410423290518,0.468928217361666,0.439750106018823,0.439750106018823,,0.00859564261996779,-0.000351778437712419,-0.0168919361895432
>=17,<18,17-18,0.158165580834223,-0.117431292289363,0.0203671442724297,-0.00131981035692826,0.158276972275989,-0.116961040227557,0.0206579660242158,0.149381386251618,0.154121615936364,0.149381386251618,0.151306148510625,-0.0433893608111084,0.0539583938497585,-0.000229567517610571,0.151669251100998,-0.0427409654967097,0.0544641428021442,0.154442309793042,0.137371918282176,0.137371918282176,0.453223242651321,-0.389551935628184,0.0318356535115689,0.00225426709053399,0.455720903687647,-0.387949229321519,0.0338858371830643,0.438917164215776,0.415379031274192,0.415379031274192,,0.00889558602437113,0.0142973328188219,0.0403418724134549
>=18,<19,18-19,0.1658073996101,-0.111477190572396,0.0271651045188521,0.000129293568939396,0.165730213764872,-0.110465465885393,0.0276323739397397,0.177919764779829,0.156938789762373,0.156938789762373,0.163055246032197,-0.0332653917886128,0.064894927121792,-0.0010681246675715,0.162865041025031,-0.0337975354739835,0.0645337527755239,0.177707718142471,0.153996937628124,0.153996937628124,0.498786888975383,-0.355509900141313,0.0716384944170352,-0.00353945495542306,0.496024571900028,-0.354200243060251,0.0709121644198883,0.530829970012782,0.476118805686363,0.476118805686363,,0.00879142400249924,0.00886810339690694,0.0199057662136656
>=19,<20,19-20,0.187506039700688,-0.101631443012009,0.0429372983443397,-0.0022787873517049,0.18739830536947,-0.10180743589482,0.0427954347373249,0.190356735954128,0.175022737366623,0.175022737366623,0.175646566853249,-0.0337088260106634,0.0709688704212928,-3.57985020967123E-05,0.176037307365667,-0.0335928705732205,0.0712222183962231,0.185947068682397,0.163980574164967,0.163980574164967,0.541665769246428,-0.353743754994985,0.0939610071257214,-0.00451563842609328,0.53608574784717,-0.356285795315634,0.0898999762657679,0.560200057522204,0.469892957908371,0.469892957908371,,0.0123755680028468,0.0120567332007002,0.0661927899387995
>=20,<21,20-21,0.198782070849139,-0.103019113881666,0.0478814784837365,0.0015631502646657,0.199594812345793,-0.102235944832267,0.0486794337567635,0.208784784213679,0.189238275855003,0.189238275855003,0.187878160170533,-0.028602059597213,0.0796380502866602,0.000249274685087803,0.188136097907572,-0.0286089602489528,0.0797635688293097,0.199625271969841,0.17951303897698,0.17951303897698,0.577968399196099,-0.343920438603579,0.11702398029626,0.000905536919078462,0.578714691203832,-0.343293930851976,0.117710380175928,0.606604280382313,0.549838925477136,0.549838925477136,,0.0103565364907907,0.00862305893059259,0.028875765726696
